0,1,2
290950141142022,29095,29
080930001001073,08093,08
551270001011041,55127,55
081230010061040,08123,08
011010015003009,01101,01
320199602022154,32019,32
200790305003090,20079,20
511610307023017,51161,51
461030109062022,46103,46
480291817161005,48029,48
011150404012004,01115,01
461030102002011,46103,46
371830509003010,37183,37
120090651211000,12009,12
484391135143001,48439,48
280590408003000,28059,28
240253012021009,24025,24
420210001002048,42021,42
040138144001002,04013,04
211259702002023,21125,21
360290100012021,36029,36
482450013012042,48245,48
484391006011026,48439,48
380150109001035,38015,38
060375361041017,06037,06
360550086003009,36055,36
060855016005012,06085,06
201770006002006,20177,20
301110004023041,30111,30
120570112042000,12057,12
280470036002069,28047,28
320310026182040,32031,32
060375704033015,06037,06
481350005003009,48135,48
517100007001008,51710,51
200150201003006,20015,20
170399718002098,17039,17
060014445002011,06001,06
370810104031017,37081,37
482012110002017,48201,48
482015530013013,48201,48
481130138033000,48113,48
471050603024114,47105,47
010150023004035,01015,01
420454107002029,42045,42
530110407031023,53011,53
240338034021002,24033,24
170312705001046,17031,17
211419603002057,21141,21
181630002013009,18163,18
484391026012003,48439,48
060375327002020,06037,06
480291509004017,48029,48
370079206001020,37007,37
270370607102013,27037,27
120570068012015,12057,12
482012407021019,48201,48
160199715001285,16019,16
517100065021027,51710,51
221030407011066,22103,22
170311002003006,17031,17
211079713002048,21107,21
516708207001001,51670,51
420579602001032,42057,42
180030031002000,18003,18
120010022173017,12001,12
090010207003005,09001,09
421298044001035,42129,42
500070010001014,50007,50
120860199002008,12086,12
080310015001010,08031,08
060190035001008,06019,06
471570205241000,47157,47
250214172001009,25021,25
440070155003011,44007,44
060710080026047,06071,06
081010011001002,08101,08
350010018002008,35001,35
290950148062000,29095,29
250173118001012,25017,25
510270104002043,51027,51
450510506002000,45051,45
120570001011004,12057,12
290950142042031,29095,29
040179606003070,04017,04
350050002021026,35005,35
371070109001000,37107,37
483396928012004,48339,48
450450020031023,45045,45
270017703003002,27001,27
060330007011084,06033,06
060375319012002,06037,06
040130927132002,04013,04
130351502004000,13035,13
245101205002007,24510,24
245101205002007,24510,24
517600207001034,51760,51
320030033161000,32003,32
480559603002049,48055,48
481350017007008,48135,48
180973404001004,18097,18
010872316021033,01087,01
484530011001078,48453,48
550350013001044,55035,55
270531062003005,27053,27
250138122021030,25013,25
180973526002013,18097,18
390799578004043,39079,39
471650209021003,47165,47
060371065201011,06037,06
060750228011009,06075,06
060670049042027,06067,06
550170101001043,55017,55
260810126072003,26081,26
340350533001031,34035,34
421010276002003,42101,42
060990019001006,06099,06
360930329022009,36093,36
060372060323023,06037,06
320030012003020,32003,32
170318430001027,17031,17
080310020001018,08031,08
170550407003101,17055,17
