FIPS:Block,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:County,FIPS:State,Cantidad de Casos
040131121002021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131122012017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131125054001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131125092005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131125092054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131126021013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131127001008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131127001014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131130001006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131130001011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131132031001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131135011012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131138021134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131141001002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131141001041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131141001070,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131143022019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131144021008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131161001012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131165003018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131166021003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131167092017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131167272002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131170002005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040132168071009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040132168101004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040132172012036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040133184002048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040133193001007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040133194015003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040133197031030,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
040133197041102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040133199022028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040133201001034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134201051024,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134201091006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134201101044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134211011010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134213042031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134214002003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134214002013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134214003002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134216022007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134219024004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134222032000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134222033000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134222051000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134223021010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134225023001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134225071000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134225081001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134226253000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134226261001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040134226291000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
