State;Violent Crime Rate;Date
NE;280.4;2014-08
NV;635.6;2014-08
NH;196.1;2014-08
NJ;261.2;2014-08
NM;597.4;2014-08
NY;381.8;2014-08
NC;329.5;2014-08
ND;265.1;2014-08
OH;284.9;2014-08
OK;406;2014-08
OR;232.3;2014-08
PA;314.1;2014-08
RI;219.2;2014-08
SC;497.7;2014-08
SD;326.5;2014-08
TN;608.4;2014-08
TX;405.9;2014-08
UT;215.6;2014-08
VT;99.3;2014-08
VA;196.2;2014-08
WA;285.2;2014-08
WV;302;2014-08
WI;290.3;2014-08
WY;195.5;2014-08
AL;427.4;2014-09
AK;635.8;2014-09
AZ;399.9;2014-09
AR;480.1;2014-09
CA;396.1;2014-09
CO;309.1;2014-09
CT;236.9;2014-09
DE;489.1;2014-09
FL;540.5;2014-09
GA;377.3;2014-09
HI;259.2;2014-09
ID;212.2;2014-09
IL;370;2014-09
IN;365.3;2014-09
IA;273.5;2014-09
KS;348.6;2014-09
KY;211.6;2014-09
LA;514.7;2014-09
ME;127.8;2014-09
MD;446.1;2014-09
MA;391.4;2014-09
MI;427.3;2014-09
MN;229.1;2014-09
MS;278.5;2014-09
MO;442.9;2014-09
MT;323.7;2014-09
NE;280.4;2014-09
NV;635.6;2014-09
NH;196.1;2014-09
NJ;261.2;2014-09
NM;597.4;2014-09
NY;381.8;2014-09
NC;329.5;2014-09
ND;265.1;2014-09
OH;284.9;2014-09
OK;406;2014-09
OR;232.3;2014-09
PA;314.1;2014-09
RI;219.2;2014-09
SC;497.7;2014-09
SD;326.5;2014-09
TN;608.4;2014-09
TX;405.9;2014-09
UT;215.6;2014-09
VT;99.3;2014-09
VA;196.2;2014-09
WA;285.2;2014-09
WV;302;2014-09
WI;290.3;2014-09
WY;195.5;2014-09
AL;427.4;2014-10
AK;635.8;2014-10
AZ;399.9;2014-10
AR;480.1;2014-10
CA;396.1;2014-10
CO;309.1;2014-10
CT;236.9;2014-10
DE;489.1;2014-10
FL;540.5;2014-10
GA;377.3;2014-10
HI;259.2;2014-10
ID;212.2;2014-10
IL;370;2014-10
IN;365.3;2014-10
IA;273.5;2014-10
KS;348.6;2014-10
KY;211.6;2014-10
LA;514.7;2014-10
ME;127.8;2014-10
MD;446.1;2014-10
MA;391.4;2014-10
MI;427.3;2014-10
MN;229.1;2014-10
MS;278.5;2014-10
MO;442.9;2014-10
MT;323.7;2014-10
NE;280.4;2014-10
NV;635.6;2014-10
NH;196.1;2014-10
NJ;261.2;2014-10
NM;597.4;2014-10
NY;381.8;2014-10
NC;329.5;2014-10
ND;265.1;2014-10
OH;284.9;2014-10
OK;406;2014-10
OR;232.3;2014-10
PA;314.1;2014-10
RI;219.2;2014-10
SC;497.7;2014-10
SD;326.5;2014-10
TN;608.4;2014-10
TX;405.9;2014-10
UT;215.6;2014-10
VT;99.3;2014-10
VA;196.2;2014-10
WA;285.2;2014-10
WV;302;2014-10
WI;290.3;2014-10
WY;195.5;2014-10
AL;427.4;2014-11
AK;635.8;2014-11
AZ;399.9;2014-11
AR;480.1;2014-11
CA;396.1;2014-11
CO;309.1;2014-11
CT;236.9;2014-11
DE;489.1;2014-11
FL;540.5;2014-11
