date_my;state;coef
2014-09;AR;0.058
2014-09;AZ;0.066
2014-09;CA;0.072
2014-09;CO;0.045
2014-09;CT;0.064
2014-09;DE;0.055
2014-09;FL;0.061
2014-09;GA;0.069
2014-09;HI;0.042
2014-09;IA;0.042
2014-09;ID;0.046
2014-09;IL;0.066
2014-09;IN;0.058
2014-09;KS;0.044
2014-09;KY;0.059
2014-09;LA;0.069
2014-09;MA;0.056
2014-09;MD;0.057
2014-09;ME;0.054
2014-09;MI;0.068
2014-09;MN;0.039
2014-09;MO;0.058
2014-09;MS;0.072
2014-09;MT;0.045
2014-09;NC;0.061
2014-09;ND;0.027
2014-09;NE;0.031
2014-09;NH;0.041
2014-09;NJ;0.066
2014-09;NM;0.065
2014-09;NV;0.076
2014-09;NY;0.06
2014-09;OH;0.055
2014-09;OK;0.043
2014-09;OR;0.065
2014-09;PA;0.056
2014-09;RI;0.071
2014-09;SC;0.067
2014-09;SD;0.033
2014-09;TN;0.066
2014-09;TX;0.049
2014-09;UT;0.038
2014-09;VA;0.051
2014-09;VT;0.039
2014-09;WA;0.06
2014-09;WI;0.051
2014-09;WV;0.065
2014-09;WY;0.041
2014-10;AK;0.067
2014-10;AL;0.064
2014-10;AR;0.057
2014-10;AZ;0.066
2014-10;CA;0.071
2014-10;CO;0.044
2014-10;CT;0.064
2014-10;DE;0.054
2014-10;FL;0.06
2014-10;GA;0.068
2014-10;HI;0.041
2014-10;IA;0.041
2014-10;ID;0.046
2014-10;IL;0.064
2014-10;IN;0.057
2014-10;KS;0.043
2014-10;KY;0.057
2014-10;LA;0.07
2014-10;MA;0.055
2014-10;MD;0.056
2014-10;ME;0.053
2014-10;MI;0.066
2014-10;MN;0.039
2014-10;MO;0.057
2014-10;MS;0.071
2014-10;MT;0.045
2014-10;NC;0.06
2014-10;ND;0.027
2014-10;NE;0.031
2014-10;NH;0.04
2014-10;NJ;0.066
2014-10;NM;0.065
2014-10;NV;0.075
2014-10;NY;0.06
2014-10;OH;0.054
2014-10;OK;0.042
2014-10;OR;0.064
2014-10;PA;0.055
2014-10;RI;0.07
2014-10;SC;0.067
2014-10;SD;0.033
2014-10;TN;0.065
2014-10;TX;0.048
2014-10;UT;0.037
2014-10;VA;0.051
2014-10;VT;0.038
2014-10;WA;0.06
2014-10;WI;0.05
2014-10;WV;0.065
2014-10;WY;0.041
2014-11;AK;0.066
2014-11;AL;0.062
2014-11;AR;0.057
2014-11;AZ;0.065
2014-11;CA;0.07
2014-11;CO;0.043
2014-11;CT;0.063
2014-11;DE;0.053
2014-11;FL;0.059
2014-11;GA;0.066
2014-11;HI;0.041
2014-11;IA;0.041
2014-11;ID;0.045
2014-11;IL;0.063
2014-11;IN;0.056
2014-11;KS;0.043
2014-11;KY;0.056
2014-11;LA;0.07
2014-11;MA;0.054
2014-11;MD;0.056
2014-11;ME;0.052
2014-11;MI;0.064
2014-11;MN;0.038
2014-11;MO;0.056
2014-11;MS;0.07
2014-11;MT;0.044
2014-11;NC;0.059
2014-11;ND;0.027
2014-11;NE;0.03
2014-11;NH;0.039
2014-11;NJ;0.066
2014-11;NM;0.064
2014-11;NV;0.074
2014-11;NY;0.059
2014-11;OH;0.053
2014-11;OK;0.042
2014-11;OR;0.062
2014-11;PA;0.054
2014-11;RI;0.068
2014-11;SC;0.066
2014-11;SD;0.033
2014-11;TN;0.064
2014-11;TX;0.047
2014-11;UT;0.037
2014-11;VA;0.05
2014-11;VT;0.038
2014-11;WA;0.059
2014-11;WI;0.049
2014-11;WV;0.065
2014-11;WY;0.04
2014-12;AK;0.065
2014-12;AL;0.061
2014-12;AR;0.056
2014-12;AZ;0.065
2014-12;CA;0.069
2014-12;CO;0.043
2014-12;CT;0.062
2014-12;DE;0.052
2014-12;FL;0.059
